center	assay	assay-info	cell-lines	cell-lines-meta	purturbagens	perturbagens-meta	perturbagens-meta (cont)	perturbagens-meta (cont)	signatures-meta	map	readouts	readout-count	data release date	data release date	data release date	data release date	data release date3	release level3	data release date4	release level4
			"name1,type1(normal or ips-differentiated),class1(normal,cancer line,):control-or-disease,tissue1;name2,type2,class2,tissue2"	"count,type (OR) count1,type1;count2,type2"	"name1,type1,perturbagens1;name2,type2, purturbagens2"	"pair:type1,count1;type2,count2"	"dose1,dose2;dose-count"	"time1(,time2,time3);time-unit;time-points"	"reps,techReps"	"pert1,cell-line1;pert2,cell-line2"	name1:datatype1;name2:datatype2		LEVEL 1	LEVEL 2	LEVEL 3	LEVEL 4	THIRD DATE IF GIVEN	levels of THIRD DATE	FOURTH DATE IF GIVEN	levels of FOURTH DATE
										one-all = each pert to all cell lines										
ISMMS - Iyengar	RSeq	Cardiotoxicity Signatures	"Promocell myocytes line 1,normal,normal,heart;Promocell myocytes line 2,normal,normal,heart;Promocell myocytes line 3,normal,normal,heart"	"3,normal"	"Afatinib,FDA approved drug;Axitinib,FDA approved drug;Bosutinib,FDA approved drug;Cabozantinib,FDA approved drug;Ceritinib,FDA approved drug;Crizotinib,FDA approved drug;Dabrafenib,FDA approved drug;Dasatinib,FDA approved drug;Erlotinib,FDA approved drug;Gefitinib,FDA approved drug;Imatinib,FDA approved drug;Lapatinib,FDA approved drug;Nilotinib,FDA approved drug;Pazopanib,FDA approved drug;Ponatinib,FDA approved drug;Regorafenib,FDA approved drug;Ruxolitinib,FDA approved drug;Sorafenib,FDA approved drug;Sunitinib,FDA approved drug;Tofacitinib,FDA approved drug;Trametinib,FDA approved drug;Vandetanib,FDA approved drug;Vemurafenib,FDA approved drug;Trastuzumab,FDA approved drug;Trastuzumab + Ursodeoxycholic acid,FDA approved drug;Trastuzumab + Loperamide,FDA approved drug;Trastuzumab + Domperidone,FDA approved drug;Sunitinib + Ursodeoxycholic acid,FDA approved drug;Sunitinib + Domperidone,FDA approved drug;Sunitinib + Loparemide,FDA approved drug;Sunitinib + Prednisolone,FDA approved drug;Sorafenib + Ursodeoxycholic acid,FDA approved drug;Sorafenib + Entecavir,FDA approved drug;Sorafenib + Diethylpropion,FDA approved drug;Sorafenib + Olmesartan,FDA approved drug;Sorefenib + Diclofenac,FDA approved drug;Dasatinib + Cytarabine,FDA approved drug;Erlotinib + Cefuroxime,FDA approved drug;Imatinib + Cyclosporine,FDA approved drug;Ursodeoxycholic acid,FDA approved drug;Loperamide,FDA approved drug;Domperidone,FDA approved drug;Prednisolone,FDA approved drug;Entecavir,FDA approved drug;Diethylpropion,FDA approved drug;Olmesartan,FDA approved drug;Diclofenac,FDA approved drug;Cytarabine,FDA approved drug;Cefuroxime,FDA approved drug;Cyclosporine,FDA approved drug"	"false:FDA approved drugs,30"	;1	48;hrs;1	3	one-all	DEGs:gene list		2015 4 30	2015 4 30	2015 4 30	2015 4 30				
ISMMS - Iyengar	Proteomics	Cardiotoxicity Signatures	"Promocell myocytes line 1,normal,normal,heart;Promocell myocytes line 2,normal,normal,heart;Promocell myocytes line 3,normal,normal,heart"	"3,normal"	"Afatinib,FDA approved drug;Axitinib,FDA approved drug;Bosutinib,FDA approved drug;Cabozantinib,FDA approved drug;Ceritinib,FDA approved drug;Crizotinib,FDA approved drug;Dabrafenib,FDA approved drug;Dasatinib,FDA approved drug;Erlotinib,FDA approved drug;Gefitinib,FDA approved drug;Imatinib,FDA approved drug;Lapatinib,FDA approved drug;Nilotinib,FDA approved drug;Pazopanib,FDA approved drug;Ponatinib,FDA approved drug;Regorafenib,FDA approved drug;Ruxolitinib,FDA approved drug;Sorafenib,FDA approved drug;Sunitinib,FDA approved drug;Tofacitinib,FDA approved drug;Trametinib,FDA approved drug;Vandetanib,FDA approved drug;Vemurafenib,FDA approved drug;Trastuzumab,FDA approved drug;Trastuzumab + Ursodeoxycholic acid,FDA approved drug;Trastuzumab + Loperamide,FDA approved drug;Trastuzumab + Domperidone,FDA approved drug;Sunitinib + Ursodeoxycholic acid,FDA approved drug;Sunitinib + Domperidone,FDA approved drug;Sunitinib + Loparemide,FDA approved drug;Sunitinib + Prednisolone,FDA approved drug;Sorafenib + Ursodeoxycholic acid,FDA approved drug;Sorafenib + Entecavir,FDA approved drug;Sorafenib + Diethylpropion,FDA approved drug;Sorafenib + Olmesartan,FDA approved drug;Sorefenib + Diclofenac,FDA approved drug;Dasatinib + Cytarabine,FDA approved drug;Erlotinib + Cefuroxime,FDA approved drug;Imatinib + Cyclosporine,FDA approved drug;Ursodeoxycholic acid,FDA approved drug;Loperamide,FDA approved drug;Domperidone,FDA approved drug;Prednisolone,FDA approved drug;Entecavir,FDA approved drug;Diethylpropion,FDA approved drug;Olmesartan,FDA approved drug;Diclofenac,FDA approved drug;Cytarabine,FDA approved drug;Cefuroxime,FDA approved drug;Cyclosporine,FDA approved drug"	"false:FDA approved drugs,10"	;1	48;hrs;1	3	one-all	DEPs:protein list		2015 4 30	2015 4 30	2015 4 30	2015 4 30				
ISMMS - Iyengar	Western blots/PCR (validation assays)	Cardiotoxicity Signatures	"Promocell myocytes line 1,normal,normal,heart;Promocell myocytes line 2,normal,normal,heart;Promocell myocytes line 3,normal,normal,heart"	"3,normal"	"Afatinib,FDA approved drug;Axitinib,FDA approved drug;Bosutinib,FDA approved drug;Cabozantinib,FDA approved drug;Ceritinib,FDA approved drug;Crizotinib,FDA approved drug;Dabrafenib,FDA approved drug;Dasatinib,FDA approved drug;Erlotinib,FDA approved drug;Gefitinib,FDA approved drug;Imatinib,FDA approved drug;Lapatinib,FDA approved drug;Nilotinib,FDA approved drug;Pazopanib,FDA approved drug;Ponatinib,FDA approved drug;Regorafenib,FDA approved drug;Ruxolitinib,FDA approved drug;Sorafenib,FDA approved drug;Sunitinib,FDA approved drug;Tofacitinib,FDA approved drug;Trametinib,FDA approved drug;Vandetanib,FDA approved drug;Vemurafenib,FDA approved drug;Trastuzumab,FDA approved drug;Trastuzumab + Ursodeoxycholic acid,FDA approved drug;Trastuzumab + Loperamide,FDA approved drug;Trastuzumab + Domperidone,FDA approved drug;Sunitinib + Ursodeoxycholic acid,FDA approved drug;Sunitinib + Domperidone,FDA approved drug;Sunitinib + Loparemide,FDA approved drug;Sunitinib + Prednisolone,FDA approved drug;Sorafenib + Ursodeoxycholic acid,FDA approved drug;Sorafenib + Entecavir,FDA approved drug;Sorafenib + Diethylpropion,FDA approved drug;Sorafenib + Olmesartan,FDA approved drug;Sorefenib + Diclofenac,FDA approved drug;Dasatinib + Cytarabine,FDA approved drug;Erlotinib + Cefuroxime,FDA approved drug;Imatinib + Cyclosporine,FDA approved drug;Ursodeoxycholic acid,FDA approved drug;Loperamide,FDA approved drug;Domperidone,FDA approved drug;Prednisolone,FDA approved drug;Entecavir,FDA approved drug;Diethylpropion,FDA approved drug;Olmesartan,FDA approved drug;Diclofenac,FDA approved drug;Cytarabine,FDA approved drug;Cefuroxime,FDA approved drug;Cyclosporine,FDA approved drug"	"false:FDA approved drugs,15"	;1	48;hrs;1	3	one-all	image:image		2015 4 30	2015 4 30	2015 4 30	2015 4 30				
ISMMS - Iyengar	RSeq	Cardiotoxicity Signatures	"Promocell myocytes line 4,normal,normal,heart;Myocytes derived from NeuroLINCS iPSCs line 1,ips-differentiated,normal,heart;Myocytes derived from NeuroLINCS iPSCs line 2,ips-differentiated,normal,heart"	"1,normal;2,ips-differentiated"	"Afatinib,FDA approved drug;Axitinib,FDA approved drug;Bosutinib,FDA approved drug;Cabozantinib,FDA approved drug;Ceritinib,FDA approved drug;Crizotinib,FDA approved drug;Dabrafenib,FDA approved drug;Dasatinib,FDA approved drug;Erlotinib,FDA approved drug;Gefitinib,FDA approved drug;Imatinib,FDA approved drug;Lapatinib,FDA approved drug;Nilotinib,FDA approved drug;Pazopanib,FDA approved drug;Ponatinib,FDA approved drug;Regorafenib,FDA approved drug;Ruxolitinib,FDA approved drug;Sorafenib,FDA approved drug;Sunitinib,FDA approved drug;Tofacitinib,FDA approved drug;Trametinib,FDA approved drug;Vandetanib,FDA approved drug;Vemurafenib,FDA approved drug;Trastuzumab,FDA approved drug;Trastuzumab + Ursodeoxycholic acid,FDA approved drug;Trastuzumab + Loperamide,FDA approved drug;Trastuzumab + Domperidone,FDA approved drug;Sunitinib + Ursodeoxycholic acid,FDA approved drug;Sunitinib + Domperidone,FDA approved drug;Sunitinib + Loparemide,FDA approved drug;Sunitinib + Prednisolone,FDA approved drug;Sorafenib + Ursodeoxycholic acid,FDA approved drug;Sorafenib + Entecavir,FDA approved drug;Sorafenib + Diethylpropion,FDA approved drug;Sorafenib + Olmesartan,FDA approved drug;Sorefenib + Diclofenac,FDA approved drug;Dasatinib + Cytarabine,FDA approved drug;Erlotinib + Cefuroxime,FDA approved drug;Imatinib + Cyclosporine,FDA approved drug;Ursodeoxycholic acid,FDA approved drug;Loperamide,FDA approved drug;Domperidone,FDA approved drug;Prednisolone,FDA approved drug;Entecavir,FDA approved drug;Diethylpropion,FDA approved drug;Olmesartan,FDA approved drug;Diclofenac,FDA approved drug;Cytarabine,FDA approved drug;Cefuroxime,FDA approved drug;Cyclosporine,FDA approved drug"	"false:FDA approved drugs,30"	;1	48;hrs;1	3	one-all	DEGs:gene list		2015 7 31	2015 7 31	2015 7 31	2015 7 31				
ISMMS - Iyengar	Proteomics	Cardiotoxicity Signatures	"Promocell myocytes line 4,normal,normal,heart;Myocytes derived from NeuroLINCS iPSCs line 1,ips-differentiated,normal,heart;Myocytes derived from NeuroLINCS iPSCs line 2,ips-differentiated,normal,heart"	"1,normal;2,ips-differentiated"	"Afatinib,FDA approved drug;Axitinib,FDA approved drug;Bosutinib,FDA approved drug;Cabozantinib,FDA approved drug;Ceritinib,FDA approved drug;Crizotinib,FDA approved drug;Dabrafenib,FDA approved drug;Dasatinib,FDA approved drug;Erlotinib,FDA approved drug;Gefitinib,FDA approved drug;Imatinib,FDA approved drug;Lapatinib,FDA approved drug;Nilotinib,FDA approved drug;Pazopanib,FDA approved drug;Ponatinib,FDA approved drug;Regorafenib,FDA approved drug;Ruxolitinib,FDA approved drug;Sorafenib,FDA approved drug;Sunitinib,FDA approved drug;Tofacitinib,FDA approved drug;Trametinib,FDA approved drug;Vandetanib,FDA approved drug;Vemurafenib,FDA approved drug;Trastuzumab,FDA approved drug;Trastuzumab + Ursodeoxycholic acid,FDA approved drug;Trastuzumab + Loperamide,FDA approved drug;Trastuzumab + Domperidone,FDA approved drug;Sunitinib + Ursodeoxycholic acid,FDA approved drug;Sunitinib + Domperidone,FDA approved drug;Sunitinib + Loparemide,FDA approved drug;Sunitinib + Prednisolone,FDA approved drug;Sorafenib + Ursodeoxycholic acid,FDA approved drug;Sorafenib + Entecavir,FDA approved drug;Sorafenib + Diethylpropion,FDA approved drug;Sorafenib + Olmesartan,FDA approved drug;Sorefenib + Diclofenac,FDA approved drug;Dasatinib + Cytarabine,FDA approved drug;Erlotinib + Cefuroxime,FDA approved drug;Imatinib + Cyclosporine,FDA approved drug;Ursodeoxycholic acid,FDA approved drug;Loperamide,FDA approved drug;Domperidone,FDA approved drug;Prednisolone,FDA approved drug;Entecavir,FDA approved drug;Diethylpropion,FDA approved drug;Olmesartan,FDA approved drug;Diclofenac,FDA approved drug;Cytarabine,FDA approved drug;Cefuroxime,FDA approved drug;Cyclosporine,FDA approved drug"	"false:FDA approved drugs,10"	;1	48;hrs;1	3	one-all	DEPs:protein list		2015 7 31	2015 7 31	2015 7 31	2015 7 31				
ISMMS - Iyengar	Western blots/PCR (validation assays)	Cardiotoxicity Signatures	"Promocell myocytes line 4,normal,normal,heart;Myocytes derived from NeuroLINCS iPSCs line 1,ips-differentiated,normal,heart;Myocytes derived from NeuroLINCS iPSCs line 2,ips-differentiated,normal,heart"	"1,normal;2,ips-differentiated"	"Afatinib,FDA approved drug;Axitinib,FDA approved drug;Bosutinib,FDA approved drug;Cabozantinib,FDA approved drug;Ceritinib,FDA approved drug;Crizotinib,FDA approved drug;Dabrafenib,FDA approved drug;Dasatinib,FDA approved drug;Erlotinib,FDA approved drug;Gefitinib,FDA approved drug;Imatinib,FDA approved drug;Lapatinib,FDA approved drug;Nilotinib,FDA approved drug;Pazopanib,FDA approved drug;Ponatinib,FDA approved drug;Regorafenib,FDA approved drug;Ruxolitinib,FDA approved drug;Sorafenib,FDA approved drug;Sunitinib,FDA approved drug;Tofacitinib,FDA approved drug;Trametinib,FDA approved drug;Vandetanib,FDA approved drug;Vemurafenib,FDA approved drug;Trastuzumab,FDA approved drug;Trastuzumab + Ursodeoxycholic acid,FDA approved drug;Trastuzumab + Loperamide,FDA approved drug;Trastuzumab + Domperidone,FDA approved drug;Sunitinib + Ursodeoxycholic acid,FDA approved drug;Sunitinib + Domperidone,FDA approved drug;Sunitinib + Loparemide,FDA approved drug;Sunitinib + Prednisolone,FDA approved drug;Sorafenib + Ursodeoxycholic acid,FDA approved drug;Sorafenib + Entecavir,FDA approved drug;Sorafenib + Diethylpropion,FDA approved drug;Sorafenib + Olmesartan,FDA approved drug;Sorefenib + Diclofenac,FDA approved drug;Dasatinib + Cytarabine,FDA approved drug;Erlotinib + Cefuroxime,FDA approved drug;Imatinib + Cyclosporine,FDA approved drug;Ursodeoxycholic acid,FDA approved drug;Loperamide,FDA approved drug;Domperidone,FDA approved drug;Prednisolone,FDA approved drug;Entecavir,FDA approved drug;Diethylpropion,FDA approved drug;Olmesartan,FDA approved drug;Diclofenac,FDA approved drug;Cytarabine,FDA approved drug;Cefuroxime,FDA approved drug;Cyclosporine,FDA approved drug"	"false:FDA approved drugs,15"	;1	48;hrs;1	3	one-all	image:image		2015 7 31	2015 7 31	2015 7 31	2015 7 31				
ISMMS - Iyengar	RSeq	Cardiotoxicity Signatures	"Mount Sinai iPSC-derived myocytes line 1,ips-differentiated,normal,heart;Mount Sinai iPSC-derived myocytes line 2,ips-differentiated,normal,heart"	"2,ips-differentiated"	"Afatinib,FDA approved drug;Axitinib,FDA approved drug;Bosutinib,FDA approved drug;Cabozantinib,FDA approved drug;Ceritinib,FDA approved drug;Crizotinib,FDA approved drug;Dabrafenib,FDA approved drug;Dasatinib,FDA approved drug;Erlotinib,FDA approved drug;Gefitinib,FDA approved drug;Imatinib,FDA approved drug;Lapatinib,FDA approved drug;Nilotinib,FDA approved drug;Pazopanib,FDA approved drug;Ponatinib,FDA approved drug;Regorafenib,FDA approved drug;Ruxolitinib,FDA approved drug;Sorafenib,FDA approved drug;Sunitinib,FDA approved drug;Tofacitinib,FDA approved drug;Trametinib,FDA approved drug;Vandetanib,FDA approved drug;Vemurafenib,FDA approved drug;Trastuzumab,FDA approved drug;Trastuzumab + Ursodeoxycholic acid,FDA approved drug;Trastuzumab + Loperamide,FDA approved drug;Trastuzumab + Domperidone,FDA approved drug;Sunitinib + Ursodeoxycholic acid,FDA approved drug;Sunitinib + Domperidone,FDA approved drug;Sunitinib + Loparemide,FDA approved drug;Sunitinib + Prednisolone,FDA approved drug;Sorafenib + Ursodeoxycholic acid,FDA approved drug;Sorafenib + Entecavir,FDA approved drug;Sorafenib + Diethylpropion,FDA approved drug;Sorafenib + Olmesartan,FDA approved drug;Sorefenib + Diclofenac,FDA approved drug;Dasatinib + Cytarabine,FDA approved drug;Erlotinib + Cefuroxime,FDA approved drug;Imatinib + Cyclosporine,FDA approved drug;Ursodeoxycholic acid,FDA approved drug;Loperamide,FDA approved drug;Domperidone,FDA approved drug;Prednisolone,FDA approved drug;Entecavir,FDA approved drug;Diethylpropion,FDA approved drug;Olmesartan,FDA approved drug;Diclofenac,FDA approved drug;Cytarabine,FDA approved drug;Cefuroxime,FDA approved drug;Cyclosporine,FDA approved drug"	"false:FDA approved drugs,30"	;1	48;hrs;1	3	one-all	DEGs:gene list		2015 10 15	2015 10 15	2015 10 15	2015 10 15				
ISMMS - Iyengar	Proteomics	Cardiotoxicity Signatures	"Mount Sinai iPSC-derived myocytes line 1,ips-differentiated,normal,heart;Mount Sinai iPSC-derived myocytes line 2,ips-differentiated,normal,heart"	"2,ips-differentiated"	"Afatinib,FDA approved drug;Axitinib,FDA approved drug;Bosutinib,FDA approved drug;Cabozantinib,FDA approved drug;Ceritinib,FDA approved drug;Crizotinib,FDA approved drug;Dabrafenib,FDA approved drug;Dasatinib,FDA approved drug;Erlotinib,FDA approved drug;Gefitinib,FDA approved drug;Imatinib,FDA approved drug;Lapatinib,FDA approved drug;Nilotinib,FDA approved drug;Pazopanib,FDA approved drug;Ponatinib,FDA approved drug;Regorafenib,FDA approved drug;Ruxolitinib,FDA approved drug;Sorafenib,FDA approved drug;Sunitinib,FDA approved drug;Tofacitinib,FDA approved drug;Trametinib,FDA approved drug;Vandetanib,FDA approved drug;Vemurafenib,FDA approved drug;Trastuzumab,FDA approved drug;Trastuzumab + Ursodeoxycholic acid,FDA approved drug;Trastuzumab + Loperamide,FDA approved drug;Trastuzumab + Domperidone,FDA approved drug;Sunitinib + Ursodeoxycholic acid,FDA approved drug;Sunitinib + Domperidone,FDA approved drug;Sunitinib + Loparemide,FDA approved drug;Sunitinib + Prednisolone,FDA approved drug;Sorafenib + Ursodeoxycholic acid,FDA approved drug;Sorafenib + Entecavir,FDA approved drug;Sorafenib + Diethylpropion,FDA approved drug;Sorafenib + Olmesartan,FDA approved drug;Sorefenib + Diclofenac,FDA approved drug;Dasatinib + Cytarabine,FDA approved drug;Erlotinib + Cefuroxime,FDA approved drug;Imatinib + Cyclosporine,FDA approved drug;Ursodeoxycholic acid,FDA approved drug;Loperamide,FDA approved drug;Domperidone,FDA approved drug;Prednisolone,FDA approved drug;Entecavir,FDA approved drug;Diethylpropion,FDA approved drug;Olmesartan,FDA approved drug;Diclofenac,FDA approved drug;Cytarabine,FDA approved drug;Cefuroxime,FDA approved drug;Cyclosporine,FDA approved drug"	"false:FDA approved drugs,10"	;1	48;hrs;1	3	one-all	DEPs:protein list		2015 10 15	2015 10 15	2015 10 15	2015 10 15				
